,text,bias
2218,Sounds like he was forced out. Too bad as he is a very interesting smart and articulate. He is certainly not of the main stream as he is a staunch conservative who is also unabashedly gay.,1
4777,Educational institutions should promote people with learning difficulties so that they can receive appropriate education. This is what primary education should be about.,0
7364,"The discrimination you are describing is against people who are transgender, gay or lesbian. The root of that discrimination is a lack of knowledge about gender identity and is not necessarly related to sexual preferences.",0
3360,About as much sense as allowing Muslim immigrants into the country surrounded by their enemies.,0
3833,What if the hat was more blatant such as I hate blacks and women.  Would it still be just a hat?,0
228,When the Fuk does this shit stop... we raised an indian in our family cause his mother was a drug addict and his tribe didnt want him.,0
1116,Why are you being such a Christian phobe racist and bigot? Canada already has enough superstitious fundamentalist teachers indoctrinating kids about religion and Stone Age thinking: just go to your nearest Canadian Muslim school or Canadian public school whose kids learn about Sharia law and readings from Islamist superstitious books,1
7312,"Blacks are not ""inferior"" to whites. There are many different people in the world, and they all share the basic human right to live as they please.",0
6817,"I bet you live in a safe country with generous laws and free media, where you can say whatever canard comes to your mind.",0
4440,"Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society, so to say they are incompatible is a complete incongruity.",0
2305,North Korea is so stupid. They could choose to become an open society producing world class products employing their people and being an economic powerhouse serving as a conduit between communist China and Russia and the Asian Free World.........but instead their leaders all have little man just like Putin and Trump syndrome and choose to  enslave themselves and their own people.   Its just disgusting and barbaric.  A step back on the evolutionary ladder folks.,1
8256,"It is easy to accuse someone of being a rapist without evidence. Not a huge difference with what you're doing right now, is it?",0
